"Copernicus Global Human Settlement Layer (GHSL), country data",
f7c3d5f3-8fc6-4d62-ba0b-3336a09177d8,Madagascar: Copernicus Global Human Settlement Layer (GHSL)
dc836989-0448-4c96-ba22-68d1fbb89061,Republic of Moldova: Copernicus Global Human Settlement Layer (GHSL)
a480ab93-e0d6-4456-a670-11e0c223983c,Monaco: Copernicus Global Human Settlement Layer (GHSL)
e0a2038d-f54a-4880-88d6-9045c7a63b76,Morocco: Copernicus Global Human Settlement Layer (GHSL)
4df90530-243a-47b1-bccb-aba32d1f9796,Saint Martin (French part): Copernicus Global Human Settlement Layer (GHSL)
3e93ff5d-946a-40af-89b4-8fde2e995258,"China, Macao Special Administrative Region: Copernicus Global Human Settlement Layer (GHSL)"
8bc3dab6-e34a-4106-9280-9d1dfbf2d61d,Latvia: Copernicus Global Human Settlement Layer (GHSL)
e9a7e159-6f20-4cbd-b499-cd7fe722aaa9,Luxembourg: Copernicus Global Human Settlement Layer (GHSL)
b7030b38-9680-43fd-84bc-0d2de990f4db,Lithuania: Copernicus Global Human Settlement Layer (GHSL)
9dcc22cf-2d08-4595-8885-2656894e2f6d,Lesotho: Copernicus Global Human Settlement Layer (GHSL)
a7c409b4-10cb-4e05-be7d-a737ac66fa75,Sri Lanka: Copernicus Global Human Settlement Layer (GHSL)
681e328f-8e18-414d-b333-9b4dc236e290,Liechtenstein: Copernicus Global Human Settlement Layer (GHSL)
01475ae2-3fa8-4ff4-9d43-7c2562e035f8,Saint Lucia: Copernicus Global Human Settlement Layer (GHSL)
263cc489-411d-4973-9689-37285064ebce,Libya: Copernicus Global Human Settlement Layer (GHSL)
ec58e1bf-a2f7-4b79-8394-0724df4d2909,Liberia: Copernicus Global Human Settlement Layer (GHSL)
8541897f-b556-4fa8-b993-f1308585300b,Lebanon: Copernicus Global Human Settlement Layer (GHSL)
aec8a66d-c0eb-41a1-83bf-dd65c3c80b53,Lao People's Democratic Republic: Copernicus Global Human Settlement Layer (GHSL)
4e06b2d6-a1df-4a9c-9662-65fd9099840d,Kuwait: Copernicus Global Human Settlement Layer (GHSL)
5476d993-52a3-4cc6-86dc-f215838a49ee,Republic of Korea: Copernicus Global Human Settlement Layer (GHSL)
d4e7692d-120d-4581-802d-c4f28da44b01,Saint Kitts and Nevis: Copernicus Global Human Settlement Layer (GHSL)
101576ad-a5f1-492b-b137-1c3df93137fa,Kiribati: Copernicus Global Human Settlement Layer (GHSL)
c1afc767-a360-4910-86c5-42b0db433514,Cambodia: Copernicus Global Human Settlement Layer (GHSL)
d615fed2-8a03-46d7-9a70-23545c22c935,Kyrgyzstan: Copernicus Global Human Settlement Layer (GHSL)
9e87cb50-8542-4c70-a3d7-e62a8a184362,Kenya: Copernicus Global Human Settlement Layer (GHSL)
68abdff7-1f62-4e7a-abb0-e77a2bcd9795,Kazakhstan: Copernicus Global Human Settlement Layer (GHSL)
055fe050-23ba-4e24-8aca-45589cce2a31,Japan: Copernicus Global Human Settlement Layer (GHSL)
b9b87576-b480-412c-aebb-bb95c9ba5456,Jordan: Copernicus Global Human Settlement Layer (GHSL)
17638107-15cc-41fe-969a-a449b5f6ed09,Jamaica: Copernicus Global Human Settlement Layer (GHSL)
b34a8630-d307-43f6-860b-609d384e0e0b,Italy: Copernicus Global Human Settlement Layer (GHSL)
015a84cb-365e-45b2-819b-c3169c96c6eb,Israel: Copernicus Global Human Settlement Layer (GHSL)
512f8243-430c-4559-a71c-b5f65f4f0309,Iceland: Copernicus Global Human Settlement Layer (GHSL)
7c6d912d-5bb8-42f4-925f-608b1ae97c22,Iraq: Copernicus Global Human Settlement Layer (GHSL)
3bb0541c-2582-49e0-af3b-39eac5a9ab1d,Iran (Islamic Republic of): Copernicus Global Human Settlement Layer (GHSL)
1037eaa5-d398-4b7a-8316-08772e88b266,Ireland: Copernicus Global Human Settlement Layer (GHSL)
96076a1b-9aeb-457e-8b54-58f579109ef9,British Indian Ocean Territory: Copernicus Global Human Settlement Layer (GHSL)
b93f8372-aca1-4632-b6ad-5d09626e263b,India: Copernicus Global Human Settlement Layer (GHSL)
62213465-0b90-486f-b34a-9bf3790ce17f,Indonesia: Copernicus Global Human Settlement Layer (GHSL)
f6e1e9a4-9247-40ab-9ede-ad11a54ac693,Hungary: Copernicus Global Human Settlement Layer (GHSL)
c3f23d7e-b344-402d-8097-cd13034e9c64,Haiti: Copernicus Global Human Settlement Layer (GHSL)
7a932900-d59c-4ccb-8976-70f0b59bfd45,Croatia: Copernicus Global Human Settlement Layer (GHSL)
6eee18cd-e85a-4f50-9ac4-6cecffc91972,Honduras: Copernicus Global Human Settlement Layer (GHSL)
784cd1a7-4cec-4855-b39c-8579522beced,Heard Island and McDonald Islands: Copernicus Global Human Settlement Layer (GHSL)
e6eeb7ac-4994-4d02-a03b-fcd9d750acdc,"China, Hong Kong Special Administrative Region: Copernicus Global Human Settlement Layer (GHSL)"
49f224f2-6a84-4658-9839-b6e0730d866c,Guyana: Copernicus Global Human Settlement Layer (GHSL)
6d272e3d-0a17-4413-8b4c-78fdfe6ee3fd,Guam: Copernicus Global Human Settlement Layer (GHSL)
af141806-3bbc-4af6-9de8-a1c2f48c345d,French Guiana: Copernicus Global Human Settlement Layer (GHSL)
c7dee979-7412-474c-804b-e05813386465,Guatemala: Copernicus Global Human Settlement Layer (GHSL)
fdd947f4-5bac-487e-8211-b552fd25749f,Greenland: Copernicus Global Human Settlement Layer (GHSL)
41832373-89a6-4a21-91a2-29a372adb728,Grenada: Copernicus Global Human Settlement Layer (GHSL)
a26e5aa3-1d72-4a26-80ef-fc926b5d352a,Greece: Copernicus Global Human Settlement Layer (GHSL)
25e47844-ab9a-4984-80ec-45a3a17b19e5,Equatorial Guinea: Copernicus Global Human Settlement Layer (GHSL)
ffb9826d-39e7-45b2-91ac-4ac5da9a2804,Guinea-Bissau: Copernicus Global Human Settlement Layer (GHSL)
3c645a55-48b7-45a0-a299-9347d06fe097,Gambia: Copernicus Global Human Settlement Layer (GHSL)
ab7b271b-bb36-46ab-a398-e6a769fd9abc,Guadeloupe: Copernicus Global Human Settlement Layer (GHSL)
bcbabd1e-7860-4d37-b327-97d55bfd81b3,Guinea: Copernicus Global Human Settlement Layer (GHSL)
13b102a9-8332-40ec-bbee-5060b06bef77,Gibraltar: Copernicus Global Human Settlement Layer (GHSL)
9cf8f5e5-f14d-47e3-a396-ddc9e816f2a7,Ghana: Copernicus Global Human Settlement Layer (GHSL)
6b81bc33-e9ac-441b-89bf-39f323c6fdcd,Georgia: Copernicus Global Human Settlement Layer (GHSL)
00ee35b6-4094-4397-b9fc-cc35ba2b574d,United Kingdom of Great Britain and Northern Ireland: Copernicus Global Human Settlement Layer (GHSL)
d22cecdd-a3e0-4b22-a4db-1cf9553bff58,Gabon: Copernicus Global Human Settlement Layer (GHSL)
4dd9b596-bf10-42c9-9441-80a0b9c358ee,Micronesia (Federated States of): Copernicus Global Human Settlement Layer (GHSL)
0f0cbcde-4e8e-4079-9bdf-f2bbd11b9e0a,Faroe Islands: Copernicus Global Human Settlement Layer (GHSL)
216cd275-ef00-41e0-81f9-0309e3491ae8,France: Copernicus Global Human Settlement Layer (GHSL)
cf68f2e2-e04f-4ae6-a5b1-eb32a241e318,Falkland Islands (Malvinas): Copernicus Global Human Settlement Layer (GHSL)
ac6e2592-150a-4037-9d1f-2c6853cb2e84,Fiji: Copernicus Global Human Settlement Layer (GHSL)
c11647a4-dcf0-412d-999a-f59923fd3fe1,Finland: Copernicus Global Human Settlement Layer (GHSL)
9a981f05-8f53-46c1-980b-a4d99c996411,Ethiopia: Copernicus Global Human Settlement Layer (GHSL)
2f7dcf9b-3330-43ef-aeaa-7bd5ba3652fa,Estonia: Copernicus Global Human Settlement Layer (GHSL)
9597785a-919f-4314-a1cb-8ea4581209cd,Spain: Copernicus Global Human Settlement Layer (GHSL)
eb6ebfeb-1cad-4da1-bf92-1e9fc724a83d,Western Sahara: Copernicus Global Human Settlement Layer (GHSL)
474f57ae-d57c-46de-b8bd-03553518a608,Eritrea: Copernicus Global Human Settlement Layer (GHSL)
3991619c-8a73-4517-ad8b-a24ba0ccba82,Egypt: Copernicus Global Human Settlement Layer (GHSL)
8811ba0b-0f0e-4a45-8dc7-c2fd02c7d1d6,Ecuador: Copernicus Global Human Settlement Layer (GHSL)
51bacc5e-9a6d-46c0-a08e-d82d4007de21,Algeria: Copernicus Global Human Settlement Layer (GHSL)
6dcfbe95-44eb-4f78-aa3d-5bd6ee9185cf,Dominican Republic: Copernicus Global Human Settlement Layer (GHSL)
deb52aeb-b22b-44fc-9a58-7f2b33331858,Denmark: Copernicus Global Human Settlement Layer (GHSL)
b470e1c7-0fe0-48fe-8274-659994ef6e74,Dominica: Copernicus Global Human Settlement Layer (GHSL)
b5a6d94e-5c7a-4091-8984-5c5e7297e7e6,Djibouti: Copernicus Global Human Settlement Layer (GHSL)
91bf1f8b-c1f4-429b-8809-2c0e810a4e73,Germany: Copernicus Global Human Settlement Layer (GHSL)
a5679ca9-cce2-4eef-a7ca-67623190fbe6,Czechia: Copernicus Global Human Settlement Layer (GHSL)
0719f682-c2be-4e68-bf71-454f223ed39b,Cyprus: Copernicus Global Human Settlement Layer (GHSL)
720cffb3-a933-44ee-ba25-58c7ff1ff434,Cayman Islands: Copernicus Global Human Settlement Layer (GHSL)
0ee551b2-c097-44ed-ad27-8fad8be41b1b,Christmas Island: Copernicus Global Human Settlement Layer (GHSL)
e4159840-c13c-4bd6-9330-bdb26fd7edea,Curaçao: Copernicus Global Human Settlement Layer (GHSL)
a37555b9-afd6-45bd-8ae7-88a95b59cac6,Cuba: Copernicus Global Human Settlement Layer (GHSL)
48e64551-0259-4e5d-b8ff-321c5d0b2a10,Costa Rica: Copernicus Global Human Settlement Layer (GHSL)
30af3db9-6305-48d1-9942-0b020411a78f,Cabo Verde: Copernicus Global Human Settlement Layer (GHSL)
a4820537-5250-4166-97c5-a056e668665d,Comoros: Copernicus Global Human Settlement Layer (GHSL)
7ec6dfd1-0c08-4467-8694-94cc45d6dcde,Colombia: Copernicus Global Human Settlement Layer (GHSL)
e8611b21-44a7-4047-b32c-5915bddc7b85,Cook Islands: Copernicus Global Human Settlement Layer (GHSL)
dfae5224-4c80-4672-a4ea-3ebb36bf30a3,Congo: Copernicus Global Human Settlement Layer (GHSL)
17dd5006-86a9-4e59-aaf8-a91fe9d38141,Democratic Republic of the Congo: Copernicus Global Human Settlement Layer (GHSL)
262d05b8-058e-423a-ae8a-3096f51250e8,Cameroon: Copernicus Global Human Settlement Layer (GHSL)
c62a3338-8a2f-4e82-8f13-fb36e5744edb,Côte d'Ivoire: Copernicus Global Human Settlement Layer (GHSL)
959b5983-b02a-4507-a6b8-fb28c67e245b,China: Copernicus Global Human Settlement Layer (GHSL)
ee55d5a1-3799-4c68-9875-0e3c392174f3,Chile: Copernicus Global Human Settlement Layer (GHSL)
2c321980-9574-428a-b1b8-accdaf8e63d6,Switzerland: Copernicus Global Human Settlement Layer (GHSL)
9f1ae444-d7df-4e37-afb8-b5ed115cec3e,Cocos (Keeling) Islands: Copernicus Global Human Settlement Layer (GHSL)
187c5a92-1076-45e4-b90c-1873df84b800,Canada: Copernicus Global Human Settlement Layer (GHSL)
04b08447-bb65-4319-965c-6c199152e56f,Central African Republic: Copernicus Global Human Settlement Layer (GHSL)
ce4fafb3-51e9-439e-8734-55466953a012,Botswana: Copernicus Global Human Settlement Layer (GHSL)
deb9e388-a7dc-4b3c-91e5-8f39c72cef6f,Bouvet Island: Copernicus Global Human Settlement Layer (GHSL)
5fd99570-8dd5-4ccb-8039-4061f81ead03,Bhutan: Copernicus Global Human Settlement Layer (GHSL)
ad7f94ac-4660-42cf-aa6e-136f43944c5e,Brunei Darussalam: Copernicus Global Human Settlement Layer (GHSL)
9663bf23-bc40-46c2-adb7-60437f5ea6f8,Barbados: Copernicus Global Human Settlement Layer (GHSL)
fd8ea938-500e-46e4-8cb2-95e1d5c8ab2b,Brazil: Copernicus Global Human Settlement Layer (GHSL)
22f291f8-d01e-48c4-964f-4561fc14799c,Bolivia (Plurinational State of): Copernicus Global Human Settlement Layer (GHSL)
68a90627-e37b-421a-86bf-7b9981721019,Bermuda: Copernicus Global Human Settlement Layer (GHSL)
0bb73bbf-4197-4289-890e-f8295e86f5e8,Belize: Copernicus Global Human Settlement Layer (GHSL)
c8789e7c-7c06-4bfc-a48f-c7957cc0a1ba,Belarus: Copernicus Global Human Settlement Layer (GHSL)
49b4736b-e248-4a95-840b-ba079eb3a957,Saint Barthélemy: Copernicus Global Human Settlement Layer (GHSL)
8b2f4de5-21a2-4e58-829d-04ba753479c5,Bosnia and Herzegovina: Copernicus Global Human Settlement Layer (GHSL)
44f6805d-58d5-4d41-ab8b-b2ae1e6b5971,Bahamas: Copernicus Global Human Settlement Layer (GHSL)
8ad9eee4-7d1e-4ffb-8bec-288a6b59f0ae,Bahrain: Copernicus Global Human Settlement Layer (GHSL)
7cc7455b-84c2-49c4-87f7-de00c7ae77ac,Bulgaria: Copernicus Global Human Settlement Layer (GHSL)
954434cc-3918-4f53-ad1f-8ce6a3315fcd,Bangladesh: Copernicus Global Human Settlement Layer (GHSL)
4207991f-2f97-4e4c-991c-33d627701c97,Burkina Faso: Copernicus Global Human Settlement Layer (GHSL)
316c45af-23c5-4912-b563-0b9a53161d4d,"Bonaire, Sint Eustatius and Saba: Copernicus Global Human Settlement Layer (GHSL)"
9983e58f-20c0-4685-801b-dc293afdadb5,Benin: Copernicus Global Human Settlement Layer (GHSL)
c8c34556-f83d-424f-84a2-4c564407f6c5,Belgium: Copernicus Global Human Settlement Layer (GHSL)
b1e4f3cd-6a6e-4f84-9496-f7615e6626c8,Burundi: Copernicus Global Human Settlement Layer (GHSL)
36184cd3-4384-4be0-a9f9-19ed47f1c53a,Azerbaijan: Copernicus Global Human Settlement Layer (GHSL)
3248d6fe-f1a8-4652-9b27-6cde48357ee9,Austria: Copernicus Global Human Settlement Layer (GHSL)
56b5d4f8-a9bd-4436-bc6d-a2c797c099b3,Australia: Copernicus Global Human Settlement Layer (GHSL)
7279d683-515b-4ca1-a0c5-d4fc741feae5,Copernicus Global Human Settlement Layer (GHSL)
